division_key,anchor_type,anchor_text,source_url_or_doc,checked_by,checked_ts,status,verified_value,note
buyside_investment_compliance,A1,Investment Company Act — fund compliance program rule | US | 17 CFR 270.38a-1,,,,UNVERIFIED,,
buyside_investment_compliance,A1,"UCITS Directive — investment restrictions (e.g., 5/10/40 concentration limits) | EU | Directive 2009/65/EC, Art. 52",,,,UNVERIFIED,,
buyside_investment_compliance,A2,UBS Group AG | Annual Report | FY2023 | Asset Management,,,,UNVERIFIED,,
buyside_investment_compliance,A3,Investment Company Institute | Worldwide regulated open-end fund net assets | 68.9 USD trillions AUM | as_of 2023-12-31,,,,UNVERIFIED,,
buyside_investment_compliance,A4,SEAT: Investment compliance / guideline monitoring analyst (pre- and post-trade rule coding and breach management) | cost_per_seat midpoint median 300000.0 | determinable_fraction median 0.85 | 4 terminality tasks,,,,UNVERIFIED,,
buyside_investment_operations,A1,"AIFMD valuation of assets and calculation of net asset value | EU | Directive 2011/61/EU, Article 19",,,,UNVERIFIED,,
buyside_investment_operations,A1,"Fair value determination and valuation designee obligations for registered funds | US | Investment Company Act of 1940, Rule 2a-5, 17 CFR 270.2a-5",,,,UNVERIFIED,,
buyside_investment_operations,A1,"Forward pricing of redeemable securities (NAV strike) | US | Investment Company Act of 1940, Rule 22c-1, 17 CFR 270.22c-1",,,,UNVERIFIED,,
buyside_investment_operations,A1,"Investment-company custody of securities and other investments | United States | Investment Company Act Rule 17f-4, 17 CFR §270.17f-4",,,,UNVERIFIED,,
buyside_investment_operations,A1,"UCITS asset valuation and NAV calculation requirements | EU | Directive 2009/65/EC, Article 85; Commission Directive 2010/43/EU, Article 23",,,,UNVERIFIED,,
buyside_investment_operations,A1,"UCITS depositary cash-flow monitoring and safekeeping | European Union | Directive 2009/65/EC, Articles 22 and 22a",,,,UNVERIFIED,,
buyside_investment_operations,A2,JPMorgan Chase & Co. | Form 10-K | FY2024 | Asset management,,,,UNVERIFIED,,
buyside_investment_operations,A2,State Street Corporation | Form 10-K | FY2023 | Servicing fees,,,,UNVERIFIED,,
buyside_investment_operations,A2,The Bank of New York Mellon Corporation | Form 10-K | FY2023 | Investment services fees,,,,UNVERIFIED,,
buyside_investment_operations,A3,Boston Consulting Group | Global Asset Management Report — global assets under management | 120 USD trillion | as_of 2023-12-31,,,,UNVERIFIED,,
buyside_investment_operations,A3,Investment Company Institute | Worldwide regulated open-end fund assets | 71.1 USD trillion | as_of 2024-12-31,,,,UNVERIFIED,,
buyside_investment_operations,A3,Investment Company Institute | Worldwide regulated open-end fund total net assets | 68 USD trillion | as_of 2023-12-31,,,,UNVERIFIED,,
buyside_investment_operations,A4,"SEAT: Buy-side investment operations / NAV and fund accounting oversight analyst (administrator oversight, reconciliation, corporate actions, pricing challenge); Buy-side investment-operations, collateral, fund-accounting, performance and investment-risk specialists | cost_per_seat midpoint median 301250.0 | determinable_fraction median 0.875 | 7 terminality tasks",,,,UNVERIFIED,,
buyside_ldi_overlay,A1,"EMIR — transitional clearing exemption for pension scheme arrangements | EU | Regulation (EU) No 648/2012, Art. 89(1)",,,,UNVERIFIED,,
buyside_ldi_overlay,A1,ERISA — fiduciary prudence standard for plan hedging | US | 29 U.S.C. § 1104(a)(1),,,,UNVERIFIED,,
buyside_ldi_overlay,A1,"IORP II — investment rules and governance for pension funds | EU | Directive (EU) 2016/2341, Art. 19 and Arts. 25–30",,,,UNVERIFIED,,
buyside_ldi_overlay,A1,"Solvency II — prudent person principle for insurers | EU | Directive 2009/138/EC, Art. 132",,,,UNVERIFIED,,
buyside_ldi_overlay,A2,"The Goldman Sachs Group, Inc. | Form 10-K | FY2023 | FICC intermediation",,,,UNVERIFIED,,
buyside_ldi_overlay,A3,Thinking Ahead Institute | Global Pension Assets Study | 55.7 USD trillions | as_of 2023-12,,,,UNVERIFIED,,
buyside_ldi_overlay,A4,"SEAT: Overlay/LDI portfolio manager-trader (per large pension fund or insurer; rates, inflation and equity hedging programs) | cost_per_seat midpoint median 350000.0 | determinable_fraction median 0.65 | 4 terminality tasks",,,,UNVERIFIED,,
buyside_performance_risk_reporting,A1,PRIIPs Regulation — key information document performance scenarios and cost disclosures | EU | Regulation (EU) No 1286/2014,,,,UNVERIFIED,,
buyside_performance_risk_reporting,A1,SEC Marketing Rule — performance advertising requirements for advisers | US | 17 CFR 275.206(4)-1,,,,UNVERIFIED,,
buyside_performance_risk_reporting,A2,JPMorgan Chase & Co. | Form 10-K | FY2023 | Asset & Wealth Management,,,,UNVERIFIED,,
buyside_performance_risk_reporting,A3,Investment Company Institute | Worldwide regulated open-end fund net assets | 68.9 USD trillions AUM | as_of 2023-12-31,,,,UNVERIFIED,,
buyside_performance_risk_reporting,A4,"SEAT: Performance measurement, attribution and investment risk reporting analyst | cost_per_seat midpoint median 285000.0 | determinable_fraction median 0.85 | 4 terminality tasks",,,,UNVERIFIED,,
buyside_portfolio_management,A1,"AIFMD reporting | EU | Directive 2011/61/EU, Art. 24 and Annex IV",,,,UNVERIFIED,,
buyside_portfolio_management,A1,ESMA — Guidelines on ETFs and other UCITS issues | EU | ESMA/2014/937,,,,UNVERIFIED,,
buyside_portfolio_management,A1,Investment Advisers Act of 1940 | United States | 15 U.S.C. §80b-6 and 17 C.F.R. §275.206(4)-7,,,,UNVERIFIED,,
buyside_portfolio_management,A1,"Investment Company Act diversification classification | United States | Investment Company Act of 1940, Section 5(b)(1)",,,,UNVERIFIED,,
buyside_portfolio_management,A1,Investment Company Act of 1940 — registered funds and ETFs | US | 15 U.S.C. § 80a-1 et seq.; Rule 6c-11 (17 C.F.R. § 270.6c-11),,,,UNVERIFIED,,
buyside_portfolio_management,A1,Investment-adviser fiduciary and antifraud obligations | United States | Investment Advisers Act of 1940 section 206; 15 U.S.C. § 80b-6,,,,UNVERIFIED,,
buyside_portfolio_management,A1,"Registered investment-adviser compliance program | United States | Investment Advisers Act Rule 206(4)-7, 17 CFR §275.206(4)-7",,,,UNVERIFIED,,
